Sample,mRNAsi
TCGA-4Z-AA80-01A-11R-A39I-07,0.5835340461748971
TCGA-4Z-AA81-01A-11R-A39I-07,0.4845891220309466
TCGA-4Z-AA82-01A-11R-A39I-07,0.38537066279947957
TCGA-4Z-AA83-01A-11R-A39I-07,0.28090394590842216
TCGA-4Z-AA84-01A-11R-A39I-07,0.5385998170434564
TCGA-4Z-AA86-01A-11R-A39I-07,0.38377285622372304
TCGA-4Z-AA87-01A-11R-A39I-07,0.5773747000328319
TCGA-4Z-AA89-01A-11R-A39I-07,0.4187855017387502
TCGA-5N-A9KI-01A-31R-A42T-07,0.3555044802637609
TCGA-5N-A9KM-01A-11R-A42T-07,0.3567713344410128
TCGA-BL-A0C8-01A-11R-A10U-07,0.37862388475803366
TCGA-BL-A13I-01A-11R-A13Y-07,0.37544185462000584
TCGA-BL-A13J-01A-11R-A10U-07,0.3330322249745537
TCGA-BL-A13J-11A-13R-A10U-07,0.14362173577886292
TCGA-BL-A3JM-01A-12R-A21D-07,0.5377757386437265
TCGA-BL-A5ZZ-01A-31R-A30C-07,0.22918939511217315
TCGA-BT-A0S7-01A-11R-A10U-07,0.4779463168962673
TCGA-BT-A0YX-01A-11R-A10U-07,0.4521791083856573
TCGA-BT-A20J-01A-11R-A14Y-07,0.5053328274007439
TCGA-BT-A20N-01A-11R-A14Y-07,0.49065884251034725
TCGA-BT-A20N-11A-11R-A14Y-07,0.1407079010597225
TCGA-BT-A20O-01A-21R-A14Y-07,0.3957059152494788
TCGA-BT-A20P-01A-11R-A14Y-07,0.40777390921539375
TCGA-BT-A20Q-01A-11R-A14Y-07,0.2730448897416808
TCGA-BT-A20Q-11A-11R-A14Y-07,0.15419176964999431
TCGA-BT-A20R-01A-12R-A16R-07,0.29349655219027265
TCGA-BT-A20R-11A-11R-A16R-07,0.13844066916581552
TCGA-BT-A20T-01A-11R-A14Y-07,0.3092206614456587
TCGA-BT-A20U-01A-11R-A14Y-07,0.4449382922002468
TCGA-BT-A20U-11A-11R-A14Y-07,0.35905432939101534
TCGA-BT-A20V-01A-11R-A14Y-07,0.5149214092715078
TCGA-BT-A20W-01A-21R-A14Y-07,0.43115976425060787
TCGA-BT-A20W-11A-11R-A14Y-07,0.20062486152007616
